順位,名前(ターゲット内表記),フルネーム(JRA-VANデータ内表記),読み(半角仮名/欧字),欧字表記名,所属,年齢,誕生日,免許取得年,キャリア,本年着度数,1着数,2着数,3着数,着外数,総数,勝率,連対率,複勝率,前年着度数,前年1着,前年2着,前年3着,前年着外,前年総数,前年勝率,前年連対率,前年複勝率,生涯着度数,生涯1着,生涯2着,生涯3着,生涯着外,生涯総数,生涯勝率,生涯連対率,生涯複勝率,コード,現役・抹消,チェック,勝数前年比,総レース数前年比,コメント,本年順位(平地),前年順位(平地)
873,中川雅之,"中川 雅之","ﾅｶｶﾞﾜ ﾏｻﾕｷ","Masayuki Nakagawa",地方,63,1963. 1.31,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 15( 15)",0,0,0,15,15,0.0,0.0,0.0,05241,,0,,,,,
874,長尾翼玖,"長尾 翼玖","ﾅｶﾞｵ ﾀｽｸ","Tasuku Nagao",地方,24,2002. 3. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  1(  2)",0,0,1,1,2,0.0,0.0,50.0,05636,,0,,,,,
875,長江慶悟,"長江 慶悟","ﾅｶﾞｴ ｹｲｺﾞ","Keigo Nagae",地方,26,1999.11.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05635,,0,,,,,
876,永井孝典,"永井 孝典","ﾅｶﾞｲ ﾀｶﾉﾘ","Takanori Nagai",地方,27,1998. 7.26,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05681,,0,,,,,146
877,戸部尚実,"戸部 尚実","ﾄﾍﾞ ﾅｵﾐ","Naomi Tobe",地方,62,1963. 8.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 23( 23)",0,0,0,23,23,0.0,0.0,0.0,00839,,0,,,,,
878,徳留康豊,"徳留 康豊","ﾄｸﾄﾞﾒ ﾔｽﾄﾖ","Yasutoyo Tokudome",地方,66,1959.11. 5,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05387,,0,,,,,
879,徳江涼　,"徳江 涼","ﾄｸｴ ﾘｮｳ","Ryo Tokue",地方,49,1977. 2.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05205,,0,,,,,
880,富樫英利,"富樫 英利","ﾄｶﾞｼ ﾋﾃﾞﾄｼ","Hidetoshi Togashi",地方,66,1959.12.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05138,,0,,,,,
881,堂山直樹,"堂山 直樹","ﾄﾞｳﾔﾏ ﾅｵｷ","Naoki Doyama",地方,53,1972.10. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  4-  2-  2- 31( 39)",4,2,2,31,39,10.3,15.4,20.5,05055,,0,,,,,
882,陶文峰　,"陶 文峰","ﾄｳ ﾌﾞﾝﾎｳ","Bunho To",地方,45,1980.10.16,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05382,,0,,,,,
883,寺嶋正勝,"寺嶋 正勝","ﾃﾗｼﾏ ﾏｻｶﾂ",,地方,74,1952. 2. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,00962,,0,,,,,
884,出水拓人,"出水 拓人","ﾃﾞﾐｽﾞ ﾀｸﾄ","Takuto Demizu",地方,25,2000.12. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05579,,0,,,,,
885,津野総夫,"津野 総夫","ﾂﾉ ﾌｻｵ",F.Tsuno,地方,72,1953. 8.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,00412,,0,,,,,
886,筒井勇介,"筒井 勇介","ﾂﾂｲ ﾕｳｽｹ","Yusuke Tsutsui",地方,42,1983. 3.14,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  2- 46( 49)",0,1,2,46,49,0.0,2.0,6.1,05408,,0,,,,,
887,塚本涼人,"塚本 涼人","ﾂｶﾓﾄ ﾘｮｳﾄ","Ryoto Tsukamoto",地方,24,2001. 9.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05591,,0,,,,,
888,塚本雄大,"塚本 雄大","ﾂｶﾓﾄ ﾕｳﾀﾞｲ","Yudai Tsukamoto",地方,27,1998.10.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  1-  0(  2)",0,1,1,0,2,0.0,50.0,100.0,05600,,0,,,,,
889,塚本征吾,"塚本 征吾","ﾂｶﾓﾄ ｾｲｺﾞ","Seigo Tsukamoto",地方,22,2004. 2.20,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05638,,0,,,,,
890,千場俊彦,"千場 俊彦","ﾁﾊﾞ ﾄｼﾋｺ","Toshihiko Chiba",地方,61,1964.11. 9,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05085,,0,,,,,
891,千葉津代,"千葉 津代士","ﾁﾊﾞ ﾂﾖｼ","Tsuyoshi Chiba",地方,61,1964.12.24,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  5-  5- 54( 66)",2,5,5,54,66,3.0,10.6,18.2,00439,,0,,,,,
892,千野稜真,"千野 稜真","ﾁﾉ ﾘｮｳﾏ","Ryoma Chino",地方,21,2004. 7. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05668,,0,,,,,
893,千田知幸,"千田 知幸","ﾁﾀﾞ ﾄﾓﾕｷ","Tomoyuki Chida",地方,69,1956. 8.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05110,,0,,,,,
894,田部和広,"田部 和広","ﾀﾍﾞ ｶｽﾞﾋﾛ","Kazuhiro Tabe",地方,73,1953. 2.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,00943,,0,,,,,
895,田野豊三,"田野 豊三","ﾀﾉ ﾄﾖｶｽﾞ","Toyokazu Tano",地方,33,1992.11. 8,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05544,,0,,,,,
896,谷川真生,"谷川 真生","ﾀﾆｶﾞﾜ ﾏｵ","Mao Tanigawa",地方,48,1977. 3.21,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05379,,0,,,,,
897,谷内貫太,"谷内 貫太","ﾀﾆｳﾁ ｶﾝﾀ","Kanta Taniuchi",地方,21,2004. 6.15,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05650,,0,,,,,159
898,田辺弘　,"田辺 弘","ﾀﾅﾍﾞ ﾋﾛｼ","Hiroshi Tanabe",地方,51,1975. 2. 9,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05308,,0,,,,,
899,七夕裕次,"七夕 裕次郎","ﾀﾅﾊﾞﾀ ﾕｳｼﾞﾛｳ","Yujiro Tanabata",地方,25,2000.10. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  1(  2)",0,0,1,1,2,0.0,0.0,50.0,05611,,0,,,,,
900,田中道夫,"田中 道夫","ﾀﾅｶ ﾐﾁｵ",M.Tanaka,地方,75,1951. 2.25,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  2-  1- 13( 18)",2,2,1,13,18,11.1,22.2,27.8,00948,,0,,,,,
901,田中学　,"田中 学","ﾀﾅｶ ﾏﾅﾌﾞ","Manabu Tanaka",地方,52,1973. 9.25,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  9-  8-  5-311(333)",9,8,5,311,333,2.7,5.1,6.6,05217,,0,,,,,
902,田中浩晃,"田中 浩晃","ﾀﾅｶ ﾋﾛｱｷ","Hiroaki Tanaka",地方,49,1977. 1. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05274,,0,,,,,
903,田中直人,"田中 直人","ﾀﾅｶ ﾅｵﾋﾄ","Naohito Tanaka",地方,36,1989. 7. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05491,,0,,,,,
904,田中敏和,"田中 敏和","ﾀﾅｶ ﾄｼｶｽﾞ",Toshi.Tanaka,地方,71,1955. 1.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,00983,,0,,,,,
905,田中力　,"田中 力","ﾀﾅｶ ﾂﾄﾑ","Tsutomu Tanaka",地方,43,1982. 8.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05428,,0,,,,,
906,田中純　,"田中 純","ﾀﾅｶ ｼﾞﾕﾝ","Jun Tanaka",地方,40,1986. 3. 5,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  1(  2)",0,0,1,1,2,0.0,0.0,50.0,05456,,0,,,,,
907,達城龍次,"達城 龍次","ﾀﾂｼﾛ ﾘｭｳｼﾞ","Ryuji Tatsushiro",地方,47,1978.12.19,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05540,,0,,,,,
908,竹吉徹　,"竹吉 徹","ﾀｹﾖｼ ﾄｵﾙ","Toru Takeyoshi",地方,37,1988. 7.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05548,,0,,,,,
909,竹村達也,"竹村 達也","ﾀｹﾑﾗ ﾀﾂﾔ","Tatsuya Takemura",地方,43,1983. 3. 1,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05474,,0,,,,,
910,竹田吉秀,"竹田 吉秀","ﾀｹﾀﾞ ﾖｼﾋﾃﾞ","Yoshihide Takeda",地方,39,1986. 5.16,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05458,,0,,,,,
911,竹下太　,"竹下 太","ﾀｹｼﾀ ﾌﾄｼ","Futoshi Takeshita",地方,62,1963. 3.29,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0-  2(  3)",1,0,0,2,3,33.3,33.3,33.3,05245,,0,,,,,
912,竹内仁志,"竹内 仁志","ﾀｹｳﾁ ﾋﾄｼ","Hitoshi Takeuchi",地方,56,1969.10.11,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  1- 10( 12)",0,1,1,10,12,0.0,8.3,16.7,05141,,0,,,,,
913,瀧川寿希,"瀧川 寿希也","ﾀｷｶﾞﾜ ｼﾞｭｷﾔ","Jukiya Takigawa",地方,30,1995. 8. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  3- 15( 18)",0,0,3,15,18,0.0,0.0,16.7,05573,,0,,,,,
914,高山伸一,"高山 伸一","ﾀｶﾔﾏ ｼﾝｲﾁ","Shinichi Takayama",地方,61,1964.10.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05276,,0,,,,,
915,鷹見陸　,"鷹見 陸","ﾀｶﾐ ﾘｸ","Riku Takami",地方,22,2003. 4.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05665,,0,,,,,
916,鷹見浩　,"鷹見 浩","ﾀｶﾐ ﾋﾛｼ",H.Takami,地方,60,1965.11. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,00574,,0,,,,,
917,高松亮　,"高松 亮","ﾀｶﾏﾂ ﾘｮｳ","Ryo Takamatsu",地方,39,1986. 6.30,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05542,,0,,,,,
918,高橋悠里,"高橋 悠里","ﾀｶﾊｼ ﾕｳﾘ","Yuri Takahashi",地方,38,1987. 4.14,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05463,,0,,,,,
919,高橋愛叶,"高橋 愛叶","ﾀｶﾊｼ ﾏﾅﾄ","Manato Takahashi",地方,19,2006. 6.17,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05671,,0,,,,,
920,高橋文雄,"高橋 文雄","ﾀｶﾊｼ ﾌﾐｵ","Fumio Takahashi",地方,66,1959.12.20,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05219,,0,,,,,
921,高橋三郎,"高橋 三郎","ﾀｶﾊｼ ｻﾌﾞﾛｳ","Saburo Takahashi",地方,81,1944. 8.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  6(  6)",0,0,0,6,6,0.0,0.0,0.0,00914,,0,,,,,
922,高橋和宏,"高橋 和宏","ﾀｶﾊｼ ｶｽﾞﾋﾛ","Kazuhiro Takahashi",地方,60,1966. 1. 1,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  3(  4)",0,0,1,3,4,0.0,0.0,25.0,05012,,0,,,,,
923,高砂哲二,"高砂 哲二","ﾀｶｽﾅ ﾃﾂｼﾞ","Tetsuji Takasuna",地方,73,1952. 5. 1,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05025,,0,,,,,
924,高木健　,"高木 健","ﾀｶｷﾞ ｹﾝ","Ken Takagi",地方,61,1964.11.16,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05226,,0,,,,,
925,平和人　,"平 和人","ﾀｲﾗ ｶｽﾞﾄ",K.Taira,地方,71,1955. 1. 1,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,00944,,0,,,,,
926,仙道光男,"仙道 光男","ｾﾝﾄﾞｳ ﾐﾂｵ","Mitsuo Sendo",地方,66,1959.11. 3,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1- 12( 13)",0,0,1,12,13,0.0,0.0,7.7,00417,,0,,,,,
927,妹尾将充,"妹尾 将充","ｾﾉｵ ﾏｻﾁｶ","Masachika Senoo",地方,25,2000.12.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05614,,0,,,,,
928,関本秀幸,"関本 秀幸","ｾｷﾓﾄ ﾋﾃﾞﾕｷ","Hideyuki Sekimoto",地方,54,1971. 5. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  7(  7)",0,0,0,7,7,0.0,0.0,0.0,05137,,0,,,,,
929,関本浩司,"関本 浩司","ｾｷﾓﾄ ｺｳｼﾞ","Koji Sekimoto",地方,58,1967. 6.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0-  4(  5)",0,1,0,4,5,0.0,20.0,20.0,05148,,0,,,,,
930,関本淳　,"関本 淳","ｾｷﾓﾄ ｱﾂｼ","Atsushi Sekimoto",地方,61,1965. 2.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  8(  8)",0,0,0,8,8,0.0,0.0,0.0,05087,,0,,,,,
931,清家義徳,"清家 義徳","ｾｲｹ ﾖｼﾉﾘ","Yoshinori Seike",地方,43,1982. 7.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1-  1(  2)",0,0,1,1,2,0.0,0.0,50.0,05384,,0,,,,,
932,須田英之,"須田 英之","ｽﾀﾞ ﾋﾃﾞﾕｷ","Hideyuki Suda",地方,57,1969. 1.27,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0,05280,,0,,,,,
933,鈴木義久,"鈴木 義久","ｽｽﾞｷ ﾖｼﾋｻ","Yoshihisa Suzuki",地方,50,1975.10.10,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05287,,0,,,,,
934,鈴木祐　,"鈴木 祐","ｽｽﾞｷ ﾕｳ","Yu Suzuki",地方,30,1995. 6. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05552,,0,,,,,
935,鈴木勝　,"鈴木 勝","ｽｽﾞｷ ﾏｻﾙ","Masaru Suzuki",地方,45,1980. 3.13,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05261,,0,,,,,
936,鈴木春雄,"鈴木 春雄","ｽｽﾞｷ ﾊﾙｵ",Haru.Suzuki,地方,77,1949. 3. 2,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,00965,,0,,,,,
937,鈴木正　,"鈴木 正","ｽｽﾞｷ ﾀﾀﾞｼ","Tadashi Suzuki",地方,64,1961. 9.12,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 11( 11)",0,0,0,11,11,0.0,0.0,0.0,05215,,0,,,,,
938,鈴木純児,"鈴木 純児","ｽｽﾞｷ ｼﾞｭﾝｼﾞ",J.Suzuki,地方,66,1960. 2. 6,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  0-  0-  3(  4)",1,0,0,3,4,25.0,25.0,25.0,00816,,0,,,,,
939,鈴木啓之,"鈴木 啓之","ｽｽﾞｷ ｹｲﾕｷ","Keiyuki Suzuki",地方,60,1965. 9. 7,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  1- 25( 27)",0,1,1,25,27,0.0,3.7,7.4,00874,,0,,,,,
940,杉村一樹,"杉村 一樹","ｽｷﾞﾑﾗ ｶｽﾞｷ","Kazuki Sugimura",地方,47,1978. 3.19,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  1-  0- 21( 22)",0,1,0,21,22,0.0,4.5,4.5,05350,,0,,,,,
941,杉浦健太,"杉浦 健太","ｽｷﾞｳﾗ ｹﾝﾀ","Kenta Sugiura",地方,33,1992.11. 4,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  6(  6)",0,0,0,6,6,0.0,0.0,0.0,05530,,0,,,,,
942,菅原涼太,"菅原 涼太","ｽｶﾞﾜﾗ ﾘｮｳﾀ","Ryota Sugawara",地方,23,2002. 5.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05612,,0,,,,,
943,菅原幸弘,"菅原 幸弘","ｽｶﾞﾜﾗ ﾕｷﾋﾛ","Yukihiro Sugawara",地方,49,1976. 9.29,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,05262,,0,,,,,
944,菅原雅文,"菅原 雅文","ｽｶﾞﾜﾗ ﾏｻﾌﾐ","Masafumi Sugawara",地方,52,1973.12.18,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,05163,,0,,,,,
945,菅原辰徳,"菅原 辰徳","ｽｶﾞﾜﾗ ﾀﾂﾉﾘ","Tatsunori Sugawara",地方,33,1993. 1.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,"  0-  0-  0-  4(  4)",0,0,0,4,4,0.0,0.0,0.0,05571,,0,,,,,168
946,菅原俊吏,"菅原 俊吏","ｽｶﾞﾜﾗ ｼﾕﾝﾘ","Shunri Sugawara",地方,44,1981. 4.28,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  7(  7)",0,0,0,7,7,0.0,0.0,0.0,05438,,0,,,,,
947,菅原勲　,"菅原 勲","ｽｶﾞﾜﾗ ｲｻｵ","Isao Sugawara",地方,62,1963. 7.25,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 16- 23- 14-262(315)",16,23,14,262,315,5.1,12.4,16.8,05022,,0,,,,,
948,新町充寿,"新町 充寿","ｼﾝﾏﾁ ﾐﾂﾋｻ","Mitsuhisa Shimmachi",地方,47,1978. 3.29,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0,05293,,0,,,,,
949,新庄海誠,"新庄 海誠","ｼﾝｼﾞｮｳ ｶｲｾｲ","Kaisei Shinjo",地方,24,2001. 6. 5,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,05670,,0,,,,,
